Mercury	3.300E+23	5.790E+10	47.4E+3
Venus	4.870E+24	1.082E+11	35E+3
Earth	5.970E+24	1.496E+11	29.8E+3
Mars	6.420E+23	2.279E+11	24.1E+3
Jupiter	1.898E+27	7.786E+11	13.1E+3
Saturn	5.680E+26	1.434E+12	9.7E+3
Uranus	8.680E+25	2.873E+12	6.8E+3
Neptune	1.020E+26	4.495E+12	5.4E+3
Pluto	1.460E+22	5.906E+12	4.7E+3
